ID,中文名 (Name CN),英文名 (Name EN),数据类型 (Type),大类 (Category),子类 (Subtype),业务描述 (Description)
37,电话诈骗工具-插卡端-002,TELE-CARD-002,Structured,电话诈骗工具,插卡端,"类别: 电话诈骗工具, 子类型: 插卡端。行为标签: B:TELE.CARD, B:TELE.VOICE, B:RAT.FULL, B:STEAL.MEDIA, B:SPY.AUDIO, B:SPY.CALL, B:PHISH.IM, B:EVA.ICON, B:NET.WS"
38,电话诈骗工具-多角色全套-003,TELE-FULL-003,Structured,电话诈骗工具,多角色全套,"类别: 电话诈骗工具, 子类型: 多角色全套。行为标签: B:TELE.FULL, B:TELE.CARD, B:TELE.RELAY, B:TELE.VOICE, B:RAT.CALL, B:STEAL.SMS, B:EVA.ICON, B:NET.WS"
39,电话诈骗工具-插卡端-003,TELE-CARD-003,Structured,电话诈骗工具,插卡端,"类别: 电话诈骗工具, 子类型: 插卡端。行为标签: B:TELE.CARD, B:RAT.CALL, B:STEAL.SMS, B:SPY.AUDIO, B:SPY.CALL, B:EVA.ICON"
40,电话诈骗工具-多角色全套-004,TELE-FULL-004,Structured,电话诈骗工具,多角色全套,"类别: 电话诈骗工具, 子类型: 多角色全套。行为标签: B:TELE.FULL, B:TELE.CARD, B:RAT.CALL, B:SPY.CALL, B:EVA.ICON, B:NET.WS"
41,VPN流量劫持-流量选择控制-001,VPN-CTRL-001,Structured,VPN流量劫持,流量选择控制,"类别: VPN流量劫持, 子类型: 流量选择控制。行为标签: B:VPN.CTRL, B:VPN.PROXY"
42,远程控制木马-通话劫持-001,RAT-CALL-001,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:STEAL.CONTACT, B:STEAL.SMS, B:VPN.PROXY"
43,电话诈骗工具-插卡端-004,TELE-CARD-004,Structured,电话诈骗工具,插卡端,"类别: 电话诈骗工具, 子类型: 插卡端。行为标签: B:TELE.CARD, B:RAT.FULL, B:STEAL.SMS, B:PHISH.IM"
44,远程控制木马-WebView桥接-001,RAT-WEB-001,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB"
45,数据窃取器-短信窃取-001,STEAL-SMS-001,Structured,数据窃取器,短信窃取,"类别: 数据窃取器, 子类型: 短信窃取。行为标签: B:STEAL.SMS, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.OVER, B:PHISH.WEB, B:DROP.DYN, B:LOADER.DCLOUD, B:LOADER.WEB, B:EVA.ICON, B:INST.SILENT"
46,间谍软件/监控-位置追踪-001,SPY-LOC-001,Structured,间谍软件/监控,位置追踪,"类别: 间谍软件/监控, 子类型: 位置追踪。行为标签: B:SPY.LOC, B:LOADER.DCLOUD, B:EVA.OBFS"
47,远程控制木马-通话劫持-002,RAT-CALL-002,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:RAT.PUSH, B:STEAL.CONTACT, B:STEAL.MEDIA, B:SPY.AUDIO, B:PHISH.IM, B:EVA.ICON, B:NET.MULTI_PUSH"
48,VPN流量劫持-流量代理劫持-001,VPN-PROXY-001,Structured,VPN流量劫持,流量代理劫持,"类别: VPN流量劫持, 子类型: 流量代理劫持。行为标签: B:VPN.PROXY"
49,远程控制木马-通话劫持-003,RAT-CALL-003,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:RAT.PUSH, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.IM, B:PHISH.SOC, B:ADWARE.MULTI, B:ADWARE.PUSH"
50,远程控制木马-推送指令-001,RAT-PUSH-001,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:STEAL.MEDIA, B:PHISH.WEB, B:LOADER.SDK, B:LOADER.WEB, B:NET.MULTI_PUSH"
51,远程控制木马-Firebase控制-001,RAT-FIRE-001,Structured,远程控制木马,Firebase控制,"类别: 远程控制木马, 子类型: Firebase控制。行为标签: B:RAT.FIRE, B:RAT.C2, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.IM, B:PER.FG, B:NET.FIREBASE"
52,远程控制木马-WebView桥接-002,RAT-WEB-002,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:PHISH.WEB, B:LOADER.SDK, B:LOADER.WEB"
53,数据窃取器-媒体文件窃取-001,STEAL-MEDIA-001,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.WEB, B:DROP.DYN, B:LOADER.SDK, B:LOADER.WEB"
54,金融诈骗-加密货币诈骗-001,FINANCE-CRYPTO-001,Structured,金融诈骗,加密货币诈骗,"类别: 金融诈骗, 子类型: 加密货币诈骗。行为标签: B:FINANCE.CRYPTO, B:FINANCE.WEB, B:SPY.CAM, B:PHISH.WEB, B:VPN.CTRL, B:LOADER.SDK, B:LOADER.WEB, B:NET.CLEAR, B:EVA.OBFS"
55,数据窃取器-媒体文件窃取-002,STEAL-MEDIA-002,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA, B:SPY.AUDIO, B:SPY.SCREEN"
56,网络钓鱼/社会工程-网页钓鱼-001,PHISH-WEB-001,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:NET.DYNAMIC, B:INST.HOTFIX, B:INST.SILENT"
57,间谍软件/监控-麦克风窃听-003,SPY-AUDIO-003,Structured,间谍软件/监控,麦克风窃听,"类别: 间谍软件/监控, 子类型: 麦克风窃听。行为标签: B:SPY.AUDIO, B:SPY.CAM, B:SPY.LOC, B:EVA.ICON, B:NET.MULTI_PUSH"
58,鸿信通,Hongxintong,Narrative,General,,伪装为即时通讯应用，集成小米、华为、魅族推送服务，以接收和处理消息。 通过第三方API（高德地图、OpenInstall、友盟等）集成额外功能，扩大用户行为跟踪和数据收集范围。 具备手机状态监听（电话呼叫、状态变更）、通话记录读写权限，可能实现通话拦截和通话记录窃取。 利用前台服务和自启动机制，保证应用持续运行和后台活动，增强驻留性。 实现多种本地数据访问权限，包括读取/写入外部存储，进一步窃取隐私数据。
59,远程控制木马-推送指令-002,RAT-PUSH-002,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:STEAL.FULL, B:FINANCE.PAY, B:PHISH.IM, B:PHISH.OVER, B:NET.MULTI_PUSH, B:EVA.OBFS"
60,云端潜行者,Cloud Stealth,Narrative,General,,该应用伪装成正常的移动服务，实际行为与远程服务和资产管理强关联。 通过加载远程URL，进行动态行为配置或展现攻击面。 具备访问相册、文件、录像和电话状态等敏感权限。 核心功能封装在DCloud组件中，具有较高的隐蔽性。
61,间谍软件/监控-屏幕录制-001,SPY-SCREEN-001,Structured,间谍软件/监控,屏幕录制,"类别: 间谍软件/监控, 子类型: 屏幕录制。行为标签: B:SPY.SCREEN, B:SPY.AUDIO, B:SPY.CALL"
63,远程控制木马-WebView桥接-003,RAT-WEB-003,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:PHISH.SOC, B:PHISH.WEB, B:LOADER.WEB, B:NET.CLEAR"
64,数据窃取器-媒体文件窃取-003,STEAL-MEDIA-003,Structured,数据窃取器,媒体文件窃取,"类别: 数据窃取器, 子类型: 媒体文件窃取。行为标签: B:STEAL.MEDIA, B:SPY.CAM, B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB, B:NET.CLEAR"
65,间谍软件/监控-麦克风窃听-004,SPY-AUDIO-004,Structured,间谍软件/监控,麦克风窃听,"类别: 间谍软件/监控, 子类型: 麦克风窃听。行为标签: B:SPY.AUDIO, B:SPY.CAM, B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB, B:NET.CLEAR, B:EVA.ICON"
66,网络钓鱼/社会工程-网页钓鱼-002,PHISH-WEB-002,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:LOADER.WEB, B:NET.CLEAR"
67,间谍软件/监控-设备指纹采集-001,SPY-DEV-001,Structured,间谍软件/监控,设备指纹采集,"类别: 间谍软件/监控, 子类型: 设备指纹采集。行为标签: B:SPY.DEV, B:VPN.PROXY, B:NET.CLEAR"
68,远程控制木马-推送指令-003,RAT-PUSH-003,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:STEAL.FULL, B:FINANCE.PAY, B:GAMBLE.CASINO, B:PHISH.GAME, B:DROP.DYN, B:NET.MULTI_PUSH"
70,数据窃取器-联系人窃取-001,STEAL-CONTACT-001,Structured,数据窃取器,联系人窃取,"类别: 数据窃取器, 子类型: 联系人窃取。行为标签: B:STEAL.CONTACT, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.WEB, B:ADWARE.MULTI, B:ADWARE.PUSH, B:LOADER.DCLOUD"
71,网络钓鱼/社会工程-网页钓鱼-003,PHISH-WEB-003,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:DROP.DYN, B:DROP.STLTH, B:EVA.PACK"
74,数据窃取器-全量数据窃取-002,STEAL-FULL-002,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:PHISH.WEB, B:PER.BOOT, B:PER.FG, B:NET.MULTI_PUSH"
75,网络钓鱼/社会工程-界面覆盖攻击-001,PHISH-OVER-001,Structured,网络钓鱼/社会工程,界面覆盖攻击,"类别: 网络钓鱼/社会工程, 子类型: 界面覆盖攻击。行为标签: B:PHISH.OVER, B:NET.CLEAR"
77,色情内容诈骗-成人游戏诈骗-001,ADULT-GAME-001,Structured,色情内容诈骗,成人游戏诈骗,"类别: 色情内容诈骗, 子类型: 成人游戏诈骗。行为标签: B:ADULT.GAME, B:ADULT.PORN, B:EVA.OBFS"
80,网络钓鱼/社会工程-网页钓鱼-004,PHISH-WEB-004,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB"
79,间谍软件/监控-生物识别监控-001,SPY-BIO-001,Structured,间谍软件/监控,生物识别监控,"类别: 间谍软件/监控, 子类型: 生物识别监控。行为标签: B:SPY.BIO, B:SPY.CAM, B:PHISH.WEB, B:LOADER.WEB, B:NET.MULTI_PUSH"
81,数据窃取器-全量数据窃取-003,STEAL-FULL-003,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:SPY.LOC, B:PER.BOOT"
84,间谍软件/监控-设备指纹采集-002,SPY-DEV-002,Structured,间谍软件/监控,设备指纹采集,"类别: 间谍软件/监控, 子类型: 设备指纹采集。行为标签: B:SPY.DEV, B:VPN.PROXY"
87,网络钓鱼/社会工程-网页钓鱼-005,PHISH-WEB-005,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:LOADER.WEB"
90,远程控制木马-WebView桥接-004,RAT-WEB-004,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:PHISH.WEB, B:LOADER.WEB"
91,释放器/安装器-隐蔽释放-001,DROP-STLTH-001,Structured,释放器/安装器,隐蔽释放,"类别: 释放器/安装器, 子类型: 隐蔽释放。行为标签: B:DROP.STLTH, B:EVA.OBFS"
92,远程控制木马-通话劫持-004,RAT-CALL-004,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:STEAL.CONTACT, B:STEAL.MEDIA, B:STEAL.SMS, B:SPY.LOC, B:PER.KEEPALIVE"
93,远程控制木马-推送指令-004,RAT-PUSH-004,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:NET.MULTI_PUSH"
94,远程控制木马-推送指令-005,RAT-PUSH-005,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:SPY.DEV, B:PHISH.SOC"
95,待定/其他-低风险-001,MISC-LOW-001,Structured,待定/其他,低风险,"类别: 待定/其他, 子类型: 低风险。行为标签: B:MISC.LOW, B:NET.MULTI_PUSH"
96,数据窃取器-短信窃取-002,STEAL-SMS-002,Structured,数据窃取器,短信窃取,"类别: 数据窃取器, 子类型: 短信窃取。行为标签: B:STEAL.SMS, B:STEAL.CONTACT"
97,远程控制木马-推送指令-006,RAT-PUSH-006,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:SPY.AUDIO, B:SPY.CAM, B:NET.MULTI_PUSH"
98,远程控制木马-通话劫持-005,RAT-CALL-005,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:SPY.AUDIO, B:SPY.CALL, B:SPY.SCREEN, B:PER.FG"
99,金融诈骗-虚假支付平台-001,FINANCE-PAY-001,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:SPY.DEV, B:PHISH.GAME, B:EVA.ANTI_VM"
100,远程控制木马-推送指令-007,RAT-PUSH-007,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:STEAL.CONTACT, B:STEAL.SMS, B:PHISH.WEB, B:LOADER.WEB"
101,数据窃取器-全量数据窃取-004,STEAL-FULL-004,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:DROP.DYN, B:EVA.OBFS"
103,远程控制木马-WebView桥接-005,RAT-WEB-005,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:RAT.C2, B:RAT.PUSH, B:FINANCE.PAY, B:GAMBLE.CASINO, B:PHISH.WEB"
104,远程控制木马-通话劫持-006,RAT-CALL-006,Structured,远程控制木马,通话劫持,"类别: 远程控制木马, 子类型: 通话劫持。行为标签: B:RAT.CALL, B:RAT.PUSH, B:SPY.AUDIO, B:SPY.CAM, B:SPY.LOC, B:PHISH.WEB, B:LOADER.WEB, B:NET.MULTI_PUSH"
106,间谍软件/监控-麦克风窃听-005,SPY-AUDIO-005,Structured,间谍软件/监控,麦克风窃听,"类别: 间谍软件/监控, 子类型: 麦克风窃听。行为标签: B:SPY.AUDIO, B:LOADER.CORD, B:NET.CLEAR"
109,远程控制木马-推送指令-008,RAT-PUSH-008,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:SPY.AUDIO, B:SPY.CAM, B:SPY.LOC, B:PHISH.WEB, B:LOADER.WEB"
110,远程控制木马-C2指令控制-001,RAT-C2-001,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:SPY.CAM"
112,待定/其他-疑似恶意-001,MISC-SUSPECT-001,Structured,待定/其他,疑似恶意,"类别: 待定/其他, 子类型: 疑似恶意。行为标签: B:MISC.SUSPECT, B:EVA.ICON"
114,远程控制木马-C2指令控制-002,RAT-C2-002,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:PHISH.WEB, B:LOADER.WEB"
115,数据窃取器-全量数据窃取-005,STEAL-FULL-005,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:SPY.AUDIO, B:SPY.CAM, B:PHISH.IM"
116,远程控制木马-无障碍控制-001,RAT-ACCESS-001,Structured,远程控制木马,无障碍控制,"类别: 远程控制木马, 子类型: 无障碍控制。行为标签: B:RAT.ACCESS, B:RAT.C2, B:FINANCE.PAY, B:PHISH.WEB, B:DROP.DYN, B:NET.DYNAMIC, B:EVA.OBFS"
117,间谍软件/监控-摄像头监控-001,SPY-CAM-001,Structured,间谍软件/监控,摄像头监控,"类别: 间谍软件/监控, 子类型: 摄像头监控。行为标签: B:SPY.CAM, B:PHISH.WEB"
118,网络钓鱼/社会工程-网页钓鱼-006,PHISH-WEB-006,Structured,网络钓鱼/社会工程,网页钓鱼,"类别: 网络钓鱼/社会工程, 子类型: 网页钓鱼。行为标签: B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB"
120,待定/其他-低风险-002,MISC-LOW-002,Structured,待定/其他,低风险,"类别: 待定/其他, 子类型: 低风险。行为标签: B:MISC.LOW"
121,远程控制木马-WebView桥接-006,RAT-WEB-006,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:STEAL.SMS, B:SPY.AUDIO, B:SPY.CAM, B:SPY.LOC, B:PHISH.IM, B:NET.MULTI_PUSH"
123,数据窃取器-短信窃取-003,STEAL-SMS-003,Structured,数据窃取器,短信窃取,"类别: 数据窃取器, 子类型: 短信窃取。行为标签: B:STEAL.SMS, B:STEAL.CONTACT, B:DROP.DYN, B:LOADER.DCLOUD"
124,远程控制木马-C2指令控制-003,RAT-C2-003,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:STEAL.CONTACT"
125,金融诈骗-虚假支付平台-002,FINANCE-PAY-002,Structured,金融诈骗,虚假支付平台,"类别: 金融诈骗, 子类型: 虚假支付平台。行为标签: B:FINANCE.PAY, B:SPY.AUDIO, B:SPY.LOC, B:PHISH.SOC"
127,远程控制木马-推送指令-009,RAT-PUSH-009,Structured,远程控制木马,推送指令,"类别: 远程控制木马, 子类型: 推送指令。行为标签: B:RAT.PUSH, B:ADWARE.MULTI, B:ADWARE.PUSH, B:NET.MULTI_PUSH"
128,远程控制木马-C2指令控制-004,RAT-C2-004,Structured,远程控制木马,C2指令控制,"类别: 远程控制木马, 子类型: C2指令控制。行为标签: B:RAT.C2, B:RAT.PUSH, B:STEAL.FULL, B:SPY.AUDIO, B:SPY.SCREEN, B:NET.MULTI_PUSH"
129,数据窃取器-全量数据窃取-006,STEAL-FULL-006,Structured,数据窃取器,全量数据窃取,"类别: 数据窃取器, 子类型: 全量数据窃取。行为标签: B:STEAL.FULL, B:STEAL.CONTACT, B:SPY.AUDIO, B:SPY.CAM, B:SPY.DEV, B:PHISH.WEB, B:LOADER.WEB, B:NET.MULTI_PUSH, B:INST.SILENT"
130,远程控制木马-WebView桥接-007,RAT-WEB-007,Structured,远程控制木马,WebView桥接,"类别: 远程控制木马, 子类型: WebView桥接。行为标签: B:RAT.WEB, B:FINANCE.PAY, B:FINANCE.WEB, B:SPY.CAM, B:PHISH.WEB, B:DROP.DYN, B:LOADER.WEB"
